age,workclass,fnlwgt,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,class
29,7,267989,13,2,10,0,4,1,0,0,50,39,1
19,4,301606,10,4,8,3,2,1,0,0,35,39,0
47,4,287828,13,2,4,5,4,0,0,0,40,39,1
20,4,111697,10,4,1,3,4,0,0,1719,28,39,0
31,4,114937,12,2,1,0,4,1,0,0,40,39,1
35,0,129305,9,2,0,0,4,1,0,0,40,39,0
39,4,365739,10,0,3,1,4,1,0,0,40,39,0
28,4,69621,12,4,12,1,4,0,0,0,60,39,0
24,4,43323,9,4,8,1,4,0,0,1762,40,39,0
38,6,120985,9,2,3,0,4,1,4386,0,35,39,0
37,4,254202,13,2,12,0,4,1,0,0,50,39,0
46,4,146195,12,0,13,1,2,0,0,0,36,39,0
38,1,125933,14,2,10,0,4,1,0,0,40,20,1
43,6,56920,9,2,3,0,4,1,0,0,60,39,0
27,4,163127,11,2,1,5,4,0,0,0,35,39,0
20,4,34310,10,4,12,3,4,1,0,0,20,39,0
49,4,81973,10,2,3,0,1,1,0,0,40,39,1
61,5,66614,9,2,3,0,4,1,0,0,40,39,0
27,4,232782,10,4,12,3,4,0,0,0,40,39,0
19,4,316868,10,4,8,3,4,1,0,0,30,26,0
45,4,196584,11,4,10,1,4,0,0,1564,40,39,1
70,4,105376,10,4,13,2,4,1,0,0,40,39,0
31,4,185814,9,4,14,4,2,0,0,0,30,39,0
22,4,175374,10,2,8,0,4,1,0,0,24,39,0
36,4,108293,9,6,8,4,4,0,0,0,24,39,0
64,4,181232,7,2,3,0,4,1,0,2179,40,39,0
43,0,174662,10,0,0,1,4,0,0,0,40,39,0
47,2,186009,10,0,1,4,4,0,0,0,38,26,0
34,4,198183,9,4,1,1,4,0,0,0,40,39,0
33,4,163003,13,4,4,2,1,0,0,0,40,30,0
21,4,296158,9,4,3,3,4,1,0,0,35,39,0
52,0,252903,9,0,0,1,4,1,0,0,45,39,1
48,4,187715,9,2,3,0,4,1,0,0,46,39,0
23,4,214542,13,4,6,1,4,1,0,0,40,39,0
71,6,494223,10,5,12,4,2,1,0,1816,2,39,0
29,4,191535,9,0,3,1,4,1,0,0,60,39,0
42,4,228456,13,5,8,2,2,1,0,0,50,39,0
68,0,38317,2,0,0,1,4,0,0,0,20,39,0
25,4,252752,9,4,8,4,4,0,0,0,40,39,0
44,5,78374,14,0,4,4,1,0,0,0,40,39,0
28,4,88419,9,4,4,1,1,0,0,0,40,9,0
45,6,201080,14,2,12,0,4,1,0,0,40,39,1
36,4,207157,10,0,8,4,4,0,0,0,40,26,0
39,1,235485,12,4,4,1,4,1,0,0,42,39,0
46,7,102628,14,6,11,4,4,1,0,0,40,39,0
18,4,25828,7,4,6,3,4,1,0,0,16,39,0
66,2,54826,11,6,10,1,4,0,0,0,20,39,0
27,4,124953,9,4,8,1,4,1,0,1980,40,39,0
28,7,175325,9,2,11,0,4,1,0,0,40,39,0
51,4,96062,10,2,12,0,4,1,0,1977,40,39,1
27,4,428030,13,4,3,1,4,1,0,0,50,39,0
28,7,149624,13,2,10,0,4,1,0,0,40,39,1
27,4,253814,9,3,12,4,4,0,0,0,25,39,0
21,4,312956,9,4,3,3,2,1,0,0,40,39,0
34,4,483777,9,4,6,1,2,1,0,0,40,39,0
18,4,183930,9,4,8,3,4,1,0,0,12,39,0
33,4,37274,13,2,10,0,4,1,0,0,65,39,0
44,2,181344,10,2,4,0,2,1,0,0,38,39,1
43,4,114580,10,0,1,1,4,0,0,0,40,39,0
30,4,633742,10,4,3,1,2,1,0,0,45,39,0
40,4,286370,4,2,7,0,4,1,0,0,40,26,1
37,1,29054,10,2,1,0,4,1,0,0,42,39,1
34,4,304030,9,2,1,0,2,1,0,0,40,39,0
41,6,143129,13,0,4,1,4,0,0,0,40,39,0
53,0,135105,13,0,0,1,4,0,0,0,50,39,0
31,4,99928,14,2,10,5,4,0,0,0,50,39,0
58,7,109567,16,2,10,0,4,1,0,0,1,39,1
38,4,155222,10,0,7,1,2,0,0,0,28,39,0
24,4,159567,10,2,7,0,4,1,0,0,40,39,0
41,2,523910,13,2,3,0,2,1,0,0,40,39,0
47,4,120939,10,2,13,0,4,1,0,0,45,39,0
41,1,130760,13,2,13,0,4,1,0,0,24,39,0
23,4,197387,3,2,14,2,4,1,0,0,40,26,0
36,4,99374,10,0,3,1,4,1,0,0,40,39,0
40,1,56795,14,4,4,1,4,0,14084,0,55,39,1
35,4,138992,14,2,10,2,4,1,7298,0,40,39,1
24,6,32921,9,4,12,1,4,1,0,0,40,39,0
26,4,397317,14,4,10,1,4,0,0,1876,40,39,0
19,0,170653,9,4,0,3,4,1,0,0,40,22,0
51,4,259323,13,2,4,0,4,1,0,0,50,39,1
42,2,254817,10,4,10,1,4,0,0,1340,40,39,0
37,7,48211,9,0,1,4,4,0,0,0,35,39,0
18,4,140164,7,4,12,3,4,0,0,0,40,39,0
36,4,128757,13,2,8,0,2,1,7298,0,36,39,1
35,4,36270,9,0,3,1,4,1,0,0,60,39,0
58,5,210563,9,2,12,5,4,0,15024,0,35,39,1
17,4,65368,7,4,12,3,4,0,0,0,12,39,0
44,2,160943,9,2,14,0,2,1,0,0,40,39,0
37,4,208358,9,2,3,0,4,1,0,0,40,39,1
35,4,153790,10,4,12,1,0,0,0,0,40,39,0
60,4,85815,9,2,3,0,1,1,0,0,40,39,0
54,5,125417,4,2,7,0,4,1,0,0,40,39,1
37,4,635913,13,4,4,1,2,1,0,0,60,39,1
50,4,313321,12,0,12,1,4,0,0,0,40,39,0
38,4,182609,13,2,12,0,4,1,0,0,50,31,0
45,4,109434,13,2,10,0,4,1,0,0,55,39,0
25,4,255004,6,4,3,1,4,1,0,0,40,39,0
31,4,197860,10,2,6,0,4,1,0,0,40,39,0
64,0,187656,2,0,0,1,4,1,0,0,40,39,0
90,4,51744,9,4,8,1,2,1,0,2206,40,39,0
54,4,176681,9,2,1,0,2,1,0,0,20,39,0
53,2,140359,1,4,7,1,4,0,0,0,35,39,0
18,4,243313,9,4,12,3,4,0,0,0,40,39,0
60,0,24215,6,0,0,1,0,0,0,0,10,39,0
66,6,167687,9,2,5,0,4,1,1409,0,50,39,0
75,4,314209,11,6,1,1,4,0,0,0,20,4,0
65,4,176796,9,0,1,1,4,0,0,0,40,39,0
35,4,538583,7,5,14,1,2,1,3674,0,40,39,0
41,4,130408,9,0,12,4,2,0,0,0,38,39,0
25,4,159732,10,4,1,1,4,1,0,0,42,39,0
33,4,110978,10,0,3,2,3,0,0,0,40,39,0
28,4,76714,15,4,10,1,4,1,0,0,55,39,1
59,7,268700,9,2,8,0,4,1,0,0,40,39,0
40,7,170525,10,4,1,1,4,0,0,0,38,39,0
41,4,180138,13,2,4,0,4,1,0,0,50,20,1
38,2,115076,14,2,4,0,4,1,0,0,70,39,1
23,4,115458,9,4,14,3,4,1,0,0,40,39,0
40,4,347890,13,2,10,0,4,1,0,0,40,39,1
41,6,196001,9,2,8,5,4,0,0,0,20,39,0
24,7,273905,12,2,11,0,4,1,0,0,50,39,0
20,0,119156,10,4,0,3,4,1,0,0,20,39,0
38,4,179488,10,0,3,1,4,1,0,1741,40,39,0
56,4,203580,9,2,1,0,4,1,0,0,35,0,0
58,4,236596,9,2,1,0,4,1,0,0,45,39,1
32,4,183916,9,4,8,1,4,0,0,0,34,39,0
40,4,207578,12,2,13,0,4,1,0,1977,60,39,1
45,4,153141,9,2,1,0,4,1,0,0,40,0,0
41,4,112763,15,2,10,5,4,0,0,0,40,39,1
42,4,390781,13,2,1,5,2,0,0,0,40,39,0
59,2,171328,6,6,8,4,2,0,0,0,30,39,0
19,2,27382,10,4,1,3,4,1,0,0,40,39,0
58,4,259014,10,4,14,1,4,1,0,0,20,39,0
42,6,303044,9,2,5,0,1,1,0,0,40,1,1
20,4,117789,9,4,8,3,4,0,0,0,40,39,0
32,4,172579,9,5,8,1,4,0,0,0,30,39,0
45,4,187666,11,6,4,1,4,0,0,0,45,39,0
50,4,204518,4,0,3,1,4,1,0,0,40,39,0
36,4,150042,13,0,10,3,4,0,0,0,40,39,0
45,4,98092,9,2,12,0,4,1,0,0,60,39,0
17,4,245918,7,4,8,3,4,1,0,0,12,39,0
59,4,146013,10,2,12,0,4,1,4064,0,40,39,0
26,4,378322,7,2,3,0,4,1,0,0,40,39,0
37,5,257295,10,2,4,0,1,1,0,0,75,37,1
19,0,218956,10,4,0,3,4,1,0,0,24,2,0
64,4,21174,9,2,4,0,4,1,0,0,40,39,1
33,4,185480,13,4,10,1,4,0,0,0,45,39,0
33,4,222205,9,2,3,5,4,0,0,0,40,39,1
61,4,69867,9,2,4,0,4,1,0,0,40,39,1
17,4,191260,5,4,8,3,4,1,1055,0,24,39,0
50,6,30653,14,2,5,0,4,1,2407,0,98,39,0
27,2,209109,14,4,10,3,4,1,0,0,35,39,0
30,4,70377,9,0,10,3,4,0,0,0,40,39,0
43,4,477983,9,2,6,0,2,1,0,0,40,39,0
44,4,170924,10,2,3,0,4,1,7298,0,40,39,1
35,4,190174,10,4,4,1,4,0,0,0,40,39,0
25,4,193787,10,4,13,3,4,0,0,0,40,39,0
24,4,279472,10,2,7,5,4,0,7298,0,48,39,1
22,4,34918,13,4,10,1,4,0,0,0,15,11,0
42,2,97688,10,2,3,0,4,1,5178,0,40,39,1
34,4,175413,12,0,12,4,2,0,0,0,45,39,0
60,4,173960,13,0,10,1,4,0,0,0,42,39,0
21,4,205759,9,4,6,3,4,1,0,0,40,39,0
57,1,425161,14,2,12,0,4,1,15024,0,40,39,1
41,4,220531,15,2,10,0,4,1,0,0,60,39,1
50,4,176609,10,0,8,1,4,1,0,0,45,39,0
25,4,371987,13,4,4,1,4,0,0,0,40,39,0
50,4,193884,4,2,3,0,4,1,0,0,40,7,0
36,4,200352,13,2,10,0,4,1,0,0,45,39,0
31,4,127595,9,0,10,1,4,0,0,0,40,39,0
29,2,220419,13,4,11,1,4,1,0,0,56,39,0
21,4,231931,10,4,12,3,4,1,0,0,45,39,0
27,4,248402,13,4,13,4,2,0,0,0,40,39,0
65,4,111095,9,2,14,0,4,1,0,0,16,39,0
37,5,57424,13,0,12,1,4,0,0,0,60,39,0
39,0,157443,14,2,0,5,1,0,3464,0,40,0,0
24,4,278130,9,4,3,3,4,1,0,0,40,39,0
38,4,169469,9,0,12,1,4,1,0,0,80,39,0
48,4,146268,13,2,1,0,4,1,7688,0,40,39,1
21,4,153718,10,4,8,1,1,0,0,0,25,39,0
31,4,217460,9,2,14,0,4,1,0,0,45,39,1
55,4,238638,9,2,12,0,4,1,4386,0,40,39,1
24,4,303296,10,2,1,5,1,0,0,0,40,25,0
43,4,173321,9,0,1,1,4,0,0,0,40,39,0
26,4,193945,12,4,13,1,4,1,0,0,45,39,0
46,4,83082,12,4,10,1,4,0,0,0,33,39,0
35,4,193815,12,2,1,0,4,1,0,0,40,39,1
41,5,34987,10,2,5,0,4,1,0,0,54,39,1
26,4,59306,13,4,12,1,4,1,0,0,40,39,0
34,4,142897,14,2,4,0,1,1,7298,0,35,36,1
19,0,860348,10,4,0,3,2,0,0,0,25,39,0
36,6,205607,13,0,10,1,2,0,0,0,40,39,1
22,4,199698,10,4,12,3,4,1,0,0,15,39,0
24,4,191954,10,4,7,1,4,1,0,0,40,39,0
77,6,138714,10,2,12,0,4,1,0,0,40,39,0
22,4,399087,3,2,7,2,4,0,0,0,40,26,0
29,4,423158,10,4,13,1,4,0,0,0,40,39,0
62,4,159841,9,6,8,1,4,0,0,0,24,39,0
39,6,174308,9,2,4,0,4,1,0,0,40,39,0
43,4,50356,10,2,3,0,4,1,0,1485,50,39,0
35,4,186110,9,0,14,1,4,1,0,0,45,39,0
29,4,200381,7,4,4,1,4,0,0,0,40,39,0
76,6,174309,14,2,3,0,4,1,0,0,10,39,0
63,6,78383,9,2,5,0,4,1,0,0,45,39,0
23,0,211601,11,4,0,3,2,0,0,0,15,39,0
43,4,187728,10,2,10,5,4,0,0,1887,50,39,1
58,6,321171,9,2,6,0,4,1,0,0,40,39,0
66,4,127921,9,4,14,1,4,1,2050,0,55,39,0
41,4,206565,10,4,3,1,2,1,0,0,45,39,0
26,4,224563,13,4,1,1,4,1,0,0,40,39,0
47,4,178686,11,4,8,1,4,1,0,0,40,39,0
55,2,98545,6,2,1,0,4,1,0,0,40,39,0
53,4,242606,9,2,14,0,4,1,0,0,40,39,0
17,4,270942,3,4,8,2,4,1,0,0,48,26,0
30,4,94235,9,4,3,2,4,1,0,0,40,39,0
49,4,71195,14,4,10,1,4,1,0,0,60,39,0
19,4,104112,9,4,12,4,2,1,0,0,30,14,0
45,4,261192,9,2,8,0,2,1,0,0,40,39,0
26,4,94936,12,4,12,1,4,1,0,0,40,39,0
38,4,296478,11,2,3,0,4,1,7298,0,40,39,1
36,7,119272,9,2,11,0,4,1,7298,0,40,39,1
33,4,85043,9,4,5,1,4,1,0,0,20,39,0
22,7,293364,10,4,11,3,2,0,0,0,40,39,0
43,6,241895,13,4,12,1,4,1,0,0,42,39,0
67,0,36135,7,2,0,0,4,1,0,0,8,39,0
30,0,151989,11,0,0,4,4,0,0,0,40,39,0
56,4,101128,12,3,8,1,4,1,0,0,25,20,0
31,4,156464,13,4,10,3,4,1,0,0,25,39,0
33,4,117963,13,2,4,0,4,1,0,0,40,39,1
26,4,192262,9,2,8,0,4,1,0,0,40,39,0
33,4,111363,13,2,4,0,4,1,0,0,40,39,1
46,2,329752,7,2,14,0,4,1,0,0,30,39,0
59,0,372020,13,2,0,0,4,1,0,0,40,39,1
38,1,95432,9,2,1,0,4,1,0,0,40,39,1
65,4,161400,7,6,8,4,3,1,0,0,40,39,0
40,4,96129,11,2,13,0,4,1,0,0,40,39,1
42,4,111949,9,2,1,5,4,0,0,0,35,39,0
26,6,117125,5,2,3,0,4,1,0,0,40,32,0
36,4,348022,6,2,8,5,4,0,0,0,24,39,0
62,4,270092,14,2,10,0,4,1,0,0,40,39,1
43,4,180609,13,2,14,0,4,1,0,0,45,39,0
43,4,174575,13,0,4,1,4,1,0,1564,45,39,1
22,4,410439,9,3,12,1,4,1,0,0,55,39,0
28,4,92262,9,2,3,0,4,1,0,0,40,39,0
56,6,183081,10,2,12,0,4,1,0,0,45,39,0
22,4,362589,12,4,12,1,4,0,0,0,15,39,0
57,4,212448,13,0,4,1,4,0,0,0,45,39,1
39,4,481060,9,0,12,4,4,0,0,0,40,39,0
26,1,185885,10,4,1,4,4,0,0,0,15,39,0
17,4,89821,7,4,8,3,4,1,0,0,10,39,0
40,7,184018,11,2,7,0,4,1,0,0,38,39,1
45,4,256649,9,2,7,0,2,1,0,0,40,39,0
44,4,160323,9,4,3,1,2,1,0,0,40,39,0
20,2,350845,10,4,1,3,4,0,0,0,10,39,0
33,4,267404,9,2,3,5,4,0,0,0,40,39,0
23,4,35633,10,4,12,1,4,1,0,0,40,39,0
46,6,80914,14,0,4,1,4,1,0,0,30,39,0
38,4,172927,9,2,12,0,4,1,0,0,50,39,0
54,4,174319,9,0,14,1,4,1,0,0,40,39,0
46,4,214955,3,0,3,1,4,0,0,2339,45,39,0
25,4,344991,10,2,3,0,4,1,0,0,40,39,0
46,4,108699,10,0,12,1,4,0,0,0,40,39,0
36,2,117312,10,2,14,5,4,0,0,0,40,39,0
23,4,396099,9,4,8,1,4,0,0,0,25,39,0
29,4,134152,9,5,7,1,4,1,0,0,40,39,0
44,4,162028,10,2,1,5,4,0,0,2415,6,39,1
19,4,25429,10,4,1,3,4,0,0,0,16,39,0
19,4,232392,9,4,8,2,4,0,0,0,40,39,0
35,4,220098,9,2,8,5,4,0,0,0,40,39,1
27,4,301302,13,4,3,1,4,1,0,0,50,39,0
46,6,277946,12,5,3,1,4,1,0,0,40,39,0
34,7,98101,13,2,4,0,4,1,7688,0,45,0,1
34,4,196164,9,4,8,1,4,0,0,0,35,39,0
44,4,115562,10,2,13,0,4,1,0,0,40,39,0
45,4,96975,10,0,6,4,4,0,0,0,40,39,0
20,0,137300,9,4,0,2,4,0,0,0,35,39,0
25,4,86872,13,2,4,0,4,1,0,0,55,39,1
52,5,132178,13,2,4,0,4,1,0,0,50,39,1
20,4,416103,10,4,6,3,4,1,0,0,40,39,0
28,4,108574,10,4,8,1,4,0,0,0,40,39,0
50,7,288353,13,2,11,0,4,1,0,0,40,39,1
34,4,227689,11,0,13,1,4,0,0,0,64,39,0
28,4,166481,4,2,6,0,3,1,0,2179,40,33,0
41,4,445382,14,2,4,0,4,1,0,1977,65,39,1
28,4,110145,9,2,1,0,4,1,0,0,40,39,0
46,6,317253,9,2,3,0,4,1,0,0,25,39,0
28,0,123147,10,2,0,5,4,0,0,1887,40,39,1
32,4,364657,10,2,4,0,4,1,0,0,50,39,0
41,2,42346,10,0,8,1,2,0,0,0,24,39,0
24,4,241951,9,4,6,4,2,0,0,0,40,39,0
33,4,118500,10,0,4,4,4,0,0,0,40,39,0
46,4,188386,16,2,4,0,4,1,15024,0,60,39,1
31,7,1033222,10,2,7,0,4,1,0,0,40,39,0
35,4,92440,8,0,3,1,4,1,0,0,50,39,1
52,4,190762,2,2,7,0,4,1,0,0,40,26,0
30,4,426017,7,4,8,3,4,0,0,0,19,39,0
34,2,243867,7,5,7,1,2,1,0,0,40,39,0
34,7,240283,9,0,14,4,4,0,0,0,40,39,0
20,4,61777,10,2,12,0,4,1,0,0,30,39,0
17,4,175024,7,4,6,3,4,1,2176,0,18,39,0
32,7,92003,13,2,4,5,4,0,0,0,40,39,1
29,4,188401,9,0,5,1,4,1,0,0,40,39,0
33,4,228528,6,4,3,4,4,0,0,0,35,39,0
25,4,133373,9,2,14,0,4,1,0,0,60,39,0
36,1,255191,14,4,10,1,4,1,0,1408,40,39,0
23,4,204653,9,4,6,1,4,1,0,0,72,6,0
63,5,222289,9,2,4,0,4,1,0,0,40,39,1
47,2,287480,14,2,10,0,4,1,0,0,40,39,0
80,0,107762,9,6,0,1,4,1,0,0,24,39,0
17,0,202521,7,4,0,3,4,1,0,0,40,39,0
40,6,204116,13,3,10,1,4,0,2174,0,40,39,0
30,4,29662,12,2,8,5,4,0,0,0,25,39,1
27,4,116358,10,4,3,3,1,1,0,1980,40,30,0
33,4,208405,14,2,10,0,4,1,0,0,50,39,1
34,2,284843,9,4,5,1,2,1,594,0,60,39,0
34,2,117018,10,4,11,1,4,0,0,0,40,39,0
23,4,81281,10,2,1,0,4,1,0,0,40,39,0
42,2,340148,10,2,1,5,4,0,0,0,40,39,0
29,4,363425,13,4,10,1,4,1,0,0,40,39,0
45,4,45857,9,0,1,1,4,0,0,0,28,39,0
24,1,191073,9,4,2,3,4,1,0,0,40,39,0
44,4,116632,10,2,10,0,4,1,0,0,40,39,1
27,4,405855,5,4,3,2,4,1,0,0,40,26,0
20,4,298227,10,4,12,1,4,1,0,0,35,39,0
44,4,290521,9,6,4,4,2,0,0,0,40,39,0
51,4,56915,9,2,3,0,0,1,0,0,40,39,0
20,4,146538,9,2,7,0,4,1,0,0,40,39,0
17,0,258872,7,4,0,3,4,0,0,0,5,39,0
19,4,206399,9,4,7,3,2,0,0,0,40,39,0
45,5,197332,10,2,3,0,4,1,0,0,55,39,1
60,4,245062,9,2,3,0,4,1,0,0,40,39,1
42,4,197583,12,2,4,0,2,1,0,0,40,0,1
44,6,234885,9,2,12,5,4,0,0,0,40,39,1
40,4,72887,11,2,7,0,1,1,0,0,40,39,1
30,4,180374,9,2,4,5,4,0,0,0,40,39,0
38,4,351299,10,2,14,0,2,1,0,0,50,39,0
23,4,54012,9,2,14,0,4,1,0,0,60,39,0
32,0,115745,10,2,0,0,4,1,0,0,40,39,0
44,4,116632,12,4,5,3,4,1,0,0,40,39,0
54,2,288825,9,2,14,0,2,1,0,0,40,39,0
32,4,132601,13,2,10,0,4,1,0,0,50,39,0
50,4,193374,2,3,3,4,4,1,0,0,40,39,0
24,4,170070,13,4,13,1,4,0,0,0,20,39,0
37,4,126708,9,2,1,5,4,0,0,0,60,39,0
52,4,35598,9,0,14,4,4,1,0,0,40,39,0
38,4,33983,10,2,14,0,4,1,0,0,40,39,0
49,4,192776,14,2,4,0,4,1,0,1977,45,39,1
30,4,118551,13,2,13,5,4,0,0,0,16,39,1
60,4,201965,10,4,10,4,4,1,0,0,40,39,1
22,0,139883,10,4,0,3,4,1,0,0,40,39,0
35,4,285020,9,4,3,1,4,1,0,0,40,39,0
30,4,303990,9,4,14,1,4,1,0,0,60,39,0
67,4,49401,11,0,8,1,4,0,0,0,24,39,0
46,4,279196,13,4,3,1,4,0,0,0,40,39,0
